ZENITH(DEG),AZIMUTH(DEG),VERT(dBi),HORI(dBi),TOTAL(dBi)
57.0,0.0,-4.09,-45.27,-4.09
58.0,0.0,-4.09,-45.46,-4.09
59.0,0.0,-4.09,-45.66,-4.09
60.0,0.0,-4.09,-45.86,-4.09
61.0,0.0,-4.10,-46.08,-4.10
62.0,0.0,-4.12,-46.31,-4.12
63.0,0.0,-4.14,-46.56,-4.14
64.0,0.0,-4.17,-46.81,-4.17
65.0,0.0,-4.21,-47.08,-4.21
66.0,0.0,-4.26,-47.37,-4.26
67.0,0.0,-4.31,-47.67,-4.31
68.0,0.0,-4.38,-47.99,-4.38
69.0,0.0,-4.45,-48.33,-4.45
70.0,0.0,-4.54,-48.70,-4.54
71.0,0.0,-4.64,-49.08,-4.64
72.0,0.0,-4.76,-49.49,-4.76
73.0,0.0,-4.89,-49.93,-4.89
74.0,0.0,-5.05,-50.40,-5.05
75.0,0.0,-5.22,-50.91,-5.22
76.0,0.0,-5.43,-51.46,-5.43
77.0,0.0,-5.66,-52.05,-5.66
78.0,0.0,-5.93,-52.70,-5.93
79.0,0.0,-6.24,-53.41,-6.24
80.0,0.0,-6.61,-54.19,-6.61
81.0,0.0,-7.05,-55.06,-7.05
82.0,0.0,-7.57,-56.04,-7.57
83.0,0.0,-8.20,-57.16,-8.20
84.0,0.0,-8.98,-58.47,-8.98
85.0,0.0,-9.97,-60.01,-9.97
86.0,0.0,-11.28,-61.92,-11.28
87.0,0.0,-13.11,-64.39,-13.11
88.0,0.0,-15.92,-67.88,-15.92
89.0,0.0,-21.16,-73.87,-21.16
0.0,1.0,-6.11,-51.99,-6.11
1.0,1.0,-6.11,-52.09,-6.11
2.0,1.0,-6.11,-52.19,-6.11
3.0,1.0,-6.10,-52.30,-6.10
4.0,1.0,-6.09,-52.40,-6.09
5.0,1.0,-6.08,-52.52,-6.08
6.0,1.0,-6.07,-52.63,-6.07
7.0,1.0,-6.05,-52.75,-6.05
8.0,1.0,-6.03,-52.87,-6.03
9.0,1.0,-6.01,-52.99,-6.01
10.0,1.0,-5.99,-53.12,-5.99
11.0,1.0,-5.96,-53.24,-5.96
12.0,1.0,-5.93,-53.37,-5.93
13.0,1.0,-5.90,-53.50,-5.90
14.0,1.0,-5.87,-53.63,-5.87
15.0,1.0,-5.84,-53.76,-5.84
16.0,1.0,-5.80,-53.89,-5.80
17.0,1.0,-5.76,-54.02,-5.76
18.0,1.0,-5.73,-54.15,-5.73
19.0,1.0,-5.68,-54.27,-5.68
20.0,1.0,-5.64,-54.39,-5.64
21.0,1.0,-5.60,-54.51,-5.60
22.0,1.0,-5.55,-54.62,-5.55
23.0,1.0,-5.51,-54.73,-5.51
24.0,1.0,-5.46,-54.83,-5.46
25.0,1.0,-5.41,-54.92,-5.41
26.0,1.0,-5.36,-55.01,-5.36
27.0,1.0,-5.31,-55.08,-5.31
28.0,1.0,-5.26,-55.15,-5.26
29.0,1.0,-5.21,-55.21,-5.21
30.0,1.0,-5.16,-55.26,-5.16
31.0,1.0,-5.10,-55.30,-5.10
32.0,1.0,-5.05,-55.33,-5.05
33.0,1.0,-5.00,-55.34,-5.00
34.0,1.0,-4.95,-55.35,-4.95
35.0,1.0,-4.89,-55.36,-4.89
36.0,1.0,-4.84,-55.35,-4.84
37.0,1.0,-4.79,-55.33,-4.79
38.0,1.0,-4.74,-55.31,-4.74
39.0,1.0,-4.69,-55.29,-4.69
40.0,1.0,-4.64,-55.26,-4.64
41.0,1.0,-4.59,-55.22,-4.59
42.0,1.0,-4.55,-55.18,-4.55
43.0,1.0,-4.50,-55.15,-4.50
44.0,1.0,-4.46,-55.11,-4.46
45.0,1.0,-4.41,-55.07,-4.41
46.0,1.0,-4.37,-55.04,-4.37
47.0,1.0,-4.33,-55.00,-4.33
48.0,1.0,-4.30,-54.97,-4.30
49.0,1.0,-4.26,-54.95,-4.26
50.0,1.0,-4.23,-54.93,-4.23
51.0,1.0,-4.20,-54.92,-4.20
52.0,1.0,-4.17,-54.92,-4.17
53.0,1.0,-4.15,-54.92,-4.15
54.0,1.0,-4.13,-54.93,-4.13
55.0,1.0,-4.11,-54.96,-4.11
56.0,1.0,-4.10,-54.99,-4.10
57.0,1.0,-4.09,-55.04,-4.09
58.0,1.0,-4.09,-55.09,-4.09
59.0,1.0,-4.09,-55.16,-4.09
60.0,1.0,-4.09,-55.25,-4.09
61.0,1.0,-4.10,-55.34,-4.10
62.0,1.0,-4.12,-55.46,-4.12
63.0,1.0,-4.15,-55.59,-4.15
64.0,1.0,-4.18,-55.73,-4.18
65.0,1.0,-4.21,-55.90,-4.21
66.0,1.0,-4.26,-56.08,-4.26
67.0,1.0,-4.31,-56.28,-4.31
68.0,1.0,-4.38,-56.51,-4.38
69.0,1.0,-4.45,-56.76,-4.45
70.0,1.0,-4.54,-57.04,-4.54
71.0,1.0,-4.64,-57.34,-4.64
72.0,1.0,-4.76,-57.67,-4.76
73.0,1.0,-4.89,-58.04,-4.89
74.0,1.0,-5.05,-58.44,-5.05
75.0,1.0,-5.22,-58.88,-5.22
76.0,1.0,-5.43,-59.37,-5.43
77.0,1.0,-5.66,-59.90,-5.66
78.0,1.0,-5.93,-60.50,-5.93
79.0,1.0,-6.24,-61.16,-6.24
80.0,1.0,-6.61,-61.90,-6.61
81.0,1.0,-7.05,-62.73,-7.05
82.0,1.0,-7.57,-63.68,-7.57
83.0,1.0,-8.20,-64.77,-8.20
84.0,1.0,-8.98,-66.04,-8.98
85.0,1.0,-9.97,-67.57,-9.97
86.0,1.0,-11.28,-69.45,-11.28
87.0,1.0,-13.11,-71.90,-13.11
88.0,1.0,-15.92,-75.39,-15.92
89.0,1.0,-21.16,-81.37,-21.16
0.0,2.0,-6.11,-40.05,-6.11
1.0,2.0,-6.11,-40.06,-6.11
2.0,2.0,-6.11,-40.07,-6.11
3.0,2.0,-6.10,-40.08,-6.10
4.0,2.0,-6.09,-40.09,-6.09
5.0,2.0,-6.08,-40.10,-6.08
6.0,2.0,-6.07,-40.10,-6.07
7.0,2.0,-6.05,-40.10,-6.05
8.0,2.0,-6.03,-40.10,-6.03
9.0,2.0,-6.01,-40.10,-6.01
10.0,2.0,-5.99,-40.10,-5.99
11.0,2.0,-5.96,-40.10,-5.96
12.0,2.0,-5.94,-40.09,-5.93
13.0,2.0,-5.91,-40.09,-5.90
14.0,2.0,-5.87,-40.08,-5.87
15.0,2.0,-5.84,-40.07,-5.84
16.0,2.0,-5.80,-40.06,-5.80
17.0,2.0,-5.77,-40.05,-5.76
18.0,2.0,-5.73,-40.04,-5.73
19.0,2.0,-5.69,-40.02,-5.68
20.0,2.0,-5.64,-40.01,-5.64
21.0,2.0,-5.60,-39.99,-5.60
22.0,2.0,-5.55,-39.98,-5.55
23.0,2.0,-5.51,-39.96,-5.51
24.0,2.0,-5.46,-39.95,-5.46
25.0,2.0,-5.41,-39.93,-5.41
26.0,2.0,-5.36,-39.92,-5.36
27.0,2.0,-5.31,-39.90,-5.31
28.0,2.0,-5.26,-39.89,-5.26
29.0,2.0,-5.21,-39.88,-5.21
30.0,2.0,-5.16,-39.86,-5.16
31.0,2.0,-5.11,-39.85,-5.10
32.0,2.0,-5.05,-39.85,-5.05
33.0,2.0,-5.00,-39.84,-5.00
34.0,2.0,-4.95,-39.83,-4.95
35.0,2.0,-4.90,-39.83,-4.89
36.0,2.0,-4.84,-39.83,-4.84
37.0,2.0,-4.79,-39.83,-4.79
38.0,2.0,-4.74,-39.84,-4.74
39.0,2.0,-4.69,-39.85,-4.69
40.0,2.0,-4.64,-39.86,-4.64
41.0,2.0,-4.59,-39.88,-4.59
42.0,2.0,-4.55,-39.90,-4.55
43.0,2.0,-4.50,-39.92,-4.50
44.0,2.0,-4.46,-39.95,-4.46
45.0,2.0,-4.42,-39.99,-4.41
46.0,2.0,-4.37,-40.03,-4.37
47.0,2.0,-4.34,-40.07,-4.33
48.0,2.0,-4.30,-40.12,-4.30
49.0,2.0,-4.26,-40.18,-4.26
50.0,2.0,-4.23,-40.25,-4.23
51.0,2.0,-4.20,-40.32,-4.20
52.0,2.0,-4.18,-40.40,-4.18
53.0,2.0,-4.15,-40.49,-4.15
54.0,2.0,-4.13,-40.58,-4.13
55.0,2.0,-4.12,-40.69,-4.12
56.0,2.0,-4.10,-40.80,-4.10
57.0,2.0,-4.10,-40.93,-4.09
58.0,2.0,-4.09,-41.06,-4.09
59.0,2.0,-4.09,-41.21,-4.09
60.0,2.0,-4.10,-41.36,-4.10
61.0,2.0,-4.11,-41.53,-4.11
62.0,2.0,-4.13,-41.72,-4.12
63.0,2.0,-4.15,-41.91,-4.15
64.0,2.0,-4.18,-42.12,-4.18
65.0,2.0,-4.22,-42.35,-4.22
66.0,2.0,-4.26,-42.59,-4.26
67.0,2.0,-4.32,-42.86,-4.32
68.0,2.0,-4.38,-43.14,-4.38
69.0,2.0,-4.46,-43.44,-4.46
70.0,2.0,-4.55,-43.77,-4.55
71.0,2.0,-4.65,-44.12,-4.65
72.0,2.0,-4.76,-44.49,-4.76
73.0,2.0,-4.90,-44.90,-4.90
74.0,2.0,-5.05,-45.34,-5.05
75.0,2.0,-5.23,-45.82,-5.23
76.0,2.0,-5.43,-46.35,-5.43
77.0,2.0,-5.66,-46.91,-5.66
78.0,2.0,-5.93,-47.54,-5.93
79.0,2.0,-6.25,-48.23,-6.25
80.0,2.0,-6.62,-48.99,-6.62
81.0,2.0,-7.05,-49.85,-7.05
82.0,2.0,-7.57,-50.81,-7.57
83.0,2.0,-8.20,-51.92,-8.20
84.0,2.0,-8.98,-53.21,-8.98
85.0,2.0,-9.98,-54.75,-9.98
86.0,2.0,-11.29,-56.65,-11.29
87.0,2.0,-13.12,-59.11,-13.12
88.0,2.0,-15.92,-62.59,-15.92
89.0,2.0,-21.17,-68.58,-21.17
0.0,3.0,-6.12,-34.68,-6.11
1.0,3.0,-6.12,-34.69,-6.11
2.0,3.0,-6.11,-34.69,-6.11
3.0,3.0,-6.11,-34.69,-6.10
4.0,3.0,-6.10,-34.69,-6.09
5.0,3.0,-6.09,-34.69,-6.08
6.0,3.0,-6.07,-34.69,-6.07
7.0,3.0,-6.06,-34.69,-6.05
8.0,3.0,-6.04,-34.69,-6.03
9.0,3.0,-6.02,-34.68,-6.01
10.0,3.0,-5.99,-34.68,-5.99
11.0,3.0,-5.97,-34.67,-5.96
12.0,3.0,-5.94,-34.66,-5.93
13.0,3.0,-5.91,-34.65,-5.90
14.0,3.0,-5.88,-34.65,-5.87
15.0,3.0,-5.84,-34.64,-5.84
16.0,3.0,-5.81,-34.62,-5.80
17.0,3.0,-5.77,-34.61,-5.77
18.0,3.0,-5.73,-34.60,-5.73
19.0,3.0,-5.69,-34.59,-5.69
20.0,3.0,-5.65,-34.58,-5.64
21.0,3.0,-5.60,-34.57,-5.60
22.0,3.0,-5.56,-34.56,-5.55
23.0,3.0,-5.51,-34.54,-5.51
24.0,3.0,-5.47,-34.53,-5.46
25.0,3.0,-5.42,-34.52,-5.41
26.0,3.0,-5.37,-34.51,-5.36
27.0,3.0,-5.32,-34.50,-5.31
28.0,3.0,-5.27,-34.50,-5.26
29.0,3.0,-5.21,-34.49,-5.21
30.0,3.0,-5.16,-34.49,-5.16
31.0,3.0,-5.11,-34.48,-5.11
32.0,3.0,-5.06,-34.48,-5.05
33.0,3.0,-5.01,-34.48,-5.00
34.0,3.0,-4.95,-34.49,-4.95
35.0,3.0,-4.90,-34.49,-4.90
36.0,3.0,-4.85,-34.50,-4.84
37.0,3.0,-4.80,-34.51,-4.79
38.0,3.0,-4.75,-34.53,-4.74
39.0,3.0,-4.70,-34.55,-4.69
40.0,3.0,-4.65,-34.57,-4.64
41.0,3.0,-4.60,-34.60,-4.60
42.0,3.0,-4.55,-34.63,-4.55
43.0,3.0,-4.51,-34.66,-4.50
44.0,3.0,-4.46,-34.70,-4.46
45.0,3.0,-4.42,-34.75,-4.42
46.0,3.0,-4.38,-34.80,-4.38
47.0,3.0,-4.34,-34.86,-4.34
48.0,3.0,-4.30,-34.92,-4.30
49.0,3.0,-4.27,-34.99,-4.27
50.0,3.0,-4.24,-35.06,-4.23
51.0,3.0,-4.21,-35.14,-4.21
52.0,3.0,-4.18,-35.23,-4.18
53.0,3.0,-4.16,-35.33,-4.16
54.0,3.0,-4.14,-35.44,-4.14
55.0,3.0,-4.12,-35.55,-4.12
56.0,3.0,-4.11,-35.67,-4.11
57.0,3.0,-4.10,-35.81,-4.10
58.0,3.0,-4.10,-35.95,-4.09
59.0,3.0,-4.10,-36.10,-4.09
60.0,3.0,-4.10,-36.27,-4.10
61.0,3.0,-4.11,-36.45,-4.11
62.0,3.0,-4.13,-36.64,-4.13
63.0,3.0,-4.15,-36.84,-4.15
64.0,3.0,-4.18,-37.06,-4.18
65.0,3.0,-4.22,-37.30,-4.22
66.0,3.0,-4.27,-37.55,-4.27
67.0,3.0,-4.32,-37.81,-4.32
68.0,3.0,-4.39,-38.10,-4.39
69.0,3.0,-4.46,-38.41,-4.46
70.0,3.0,-4.55,-38.74,-4.55
71.0,3.0,-4.65,-39.10,-4.65
72.0,3.0,-4.77,-39.48,-4.77
73.0,3.0,-4.90,-39.90,-4.90
74.0,3.0,-5.06,-40.34,-5.06
75.0,3.0,-5.23,-40.83,-5.23
76.0,3.0,-5.44,-41.35,-5.44
77.0,3.0,-5.67,-41.92,-5.67
78.0,3.0,-5.94,-42.55,-5.94
79.0,3.0,-6.25,-43.24,-6.25
80.0,3.0,-6.62,-44.01,-6.62
81.0,3.0,-7.06,-44.87,-7.06
82.0,3.0,-7.58,-45.84,-7.58
83.0,3.0,-8.21,-46.95,-8.21
84.0,3.0,-8.99,-48.24,-8.99
85.0,3.0,-9.98,-49.78,-9.98
86.0,3.0,-11.29,-51.68,-11.29
87.0,3.0,-13.12,-54.14,-13.12
88.0,3.0,-15.93,-57.63,-15.93
89.0,3.0,-21.17,-63.62,-21.17
0.0,4.0,-6.12,-31.36,-6.11
1.0,4.0,-6.12,-31.37,-6.11
2.0,4.0,-6.12,-31.37,-6.11
3.0,4.0,-6.11,-31.37,-6.10
4.0,4.0,-6.10,-31.37,-6.09
5.0,4.0,-6.09,-31.37,-6.08
6.0,4.0,-6.08,-31.37,-6.07
7.0,4.0,-6.06,-31.36,-6.05
8.0,4.0,-6.04,-31.36,-6.03
9.0,4.0,-6.02,-31.35,-6.01
10.0,4.0,-6.00,-31.35,-5.99
11.0,4.0,-5.97,-31.34,-5.96
12.0,4.0,-5.95,-31.33,-5.93
13.0,4.0,-5.92,-31.32,-5.90
14.0,4.0,-5.89,-31.31,-5.87
15.0,4.0,-5.85,-31.31,-5.84
16.0,4.0,-5.82,-31.30,-5.80
17.0,4.0,-5.78,-31.29,-5.77
18.0,4.0,-5.74,-31.27,-5.73
19.0,4.0,-5.70,-31.26,-5.69
20.0,4.0,-5.66,-31.25,-5.64
21.0,4.0,-5.61,-31.24,-5.60
22.0,4.0,-5.57,-31.23,-5.55
23.0,4.0,-5.52,-31.22,-5.51
24.0,4.0,-5.47,-31.22,-5.46
25.0,4.0,-5.42,-31.21,-5.41
26.0,4.0,-5.37,-31.20,-5.36
27.0,4.0,-5.32,-31.20,-5.31
28.0,4.0,-5.27,-31.19,-5.26
29.0,4.0,-5.22,-31.19,-5.21
30.0,4.0,-5.17,-31.19,-5.16
31.0,4.0,-5.12,-31.19,-5.11
32.0,4.0,-5.07,-31.19,-5.06
33.0,4.0,-5.01,-31.19,-5.00
34.0,4.0,-4.96,-31.20,-4.95
35.0,4.0,-4.91,-31.21,-4.90
36.0,4.0,-4.86,-31.22,-4.85
37.0,4.0,-4.81,-31.24,-4.80
38.0,4.0,-4.76,-31.26,-4.75
39.0,4.0,-4.71,-31.28,-4.70
40.0,4.0,-4.66,-31.31,-4.65
41.0,4.0,-4.61,-31.34,-4.60
42.0,4.0,-4.56,-31.37,-4.55
43.0,4.0,-4.52,-31.41,-4.51
44.0,4.0,-4.47,-31.46,-4.46
45.0,4.0,-4.43,-31.51,-4.42
46.0,4.0,-4.39,-31.56,-4.38
47.0,4.0,-4.35,-31.62,-4.34
48.0,4.0,-4.31,-31.69,-4.30
49.0,4.0,-4.28,-31.76,-4.27
50.0,4.0,-4.25,-31.84,-4.24
51.0,4.0,-4.22,-31.92,-4.21
52.0,4.0,-4.19,-32.02,-4.18
53.0,4.0,-4.17,-32.12,-4.16
54.0,4.0,-4.15,-32.23,-4.14
55.0,4.0,-4.13,-32.35,-4.12
56.0,4.0,-4.12,-32.47,-4.11
57.0,4.0,-4.11,-32.61,-4.10
58.0,4.0,-4.11,-32.76,-4.10
59.0,4.0,-4.11,-32.91,-4.10
60.0,4.0,-4.11,-33.08,-4.11
61.0,4.0,-4.12,-33.26,-4.12
62.0,4.0,-4.14,-33.46,-4.13
63.0,4.0,-4.16,-33.66,-4.16
64.0,4.0,-4.19,-33.89,-4.19
65.0,4.0,-4.23,-34.12,-4.23
66.0,4.0,-4.28,-34.38,-4.27
67.0,4.0,-4.33,-34.65,-4.33
68.0,4.0,-4.40,-34.94,-4.39
69.0,4.0,-4.47,-35.25,-4.47
70.0,4.0,-4.56,-35.58,-4.56
71.0,4.0,-4.66,-35.94,-4.66
72.0,4.0,-4.78,-36.33,-4.78
73.0,4.0,-4.91,-36.74,-4.91
74.0,4.0,-5.07,-37.19,-5.06
75.0,4.0,-5.24,-37.68,-5.24
76.0,4.0,-5.45,-38.20,-5.44
77.0,4.0,-5.68,-38.78,-5.68
78.0,4.0,-5.95,-39.41,-5.95
79.0,4.0,-6.26,-40.10,-6.26
80.0,4.0,-6.63,-40.87,-6.63
81.0,4.0,-7.07,-41.73,-7.06
82.0,4.0,-7.59,-42.70,-7.58
83.0,4.0,-8.22,-43.81,-8.22
84.0,4.0,-9.00,-45.10,-9.00
85.0,4.0,-9.99,-46.64,-9.99
86.0,4.0,-11.30,-48.54,-11.30
87.0,4.0,-13.13,-51.00,-13.13
88.0,4.0,-15.94,-54.49,-15.93
89.0,4.0,-21.18,-60.48,-21.18
0.0,5.0,-6.13,-28.97,-6.11
1.0,5.0,-6.13,-28.97,-6.11
2.0,5.0,-6.13,-28.97,-6.11
3.0,5.0,-6.12,-28.97,-6.10
4.0,5.0,-6.11,-28.97,-6.09
5.0,5.0,-6.10,-28.97,-6.08
6.0,5.0,-6.09,-28.96,-6.07
7.0,5.0,-6.07,-28.96,-6.05
8.0,5.0,-6.05,-28.95,-6.03
9.0,5.0,-6.03,-28.95,-6.01
10.0,5.0,-6.01,-28.94,-5.99
11.0,5.0,-5.98,-28.94,-5.96
12.0,5.0,-5.96,-28.93,-5.93
13.0,5.0,-5.93,-28.92,-5.91
14.0,5.0,-5.90,-28.91,-5.87
15.0,5.0,-5.86,-28.90,-5.84
16.0,5.0,-5.83,-28.89,-5.80
17.0,5.0,-5.79,-28.88,-5.77
18.0,5.0,-5.75,-28.87,-5.73
19.0,5.0,-5.71,-28.86,-5.69
20.0,5.0,-5.67,-28.86,-5.64
21.0,5.0,-5.62,-28.85,-5.60
22.0,5.0,-5.58,-28.84,-5.56
23.0,5.0,-5.53,-28.83,-5.51
24.0,5.0,-5.48,-28.82,-5.46
25.0,5.0,-5.43,-28.82,-5.41
26.0,5.0,-5.38,-28.81,-5.37
27.0,5.0,-5.33,-28.81,-5.32
28.0,5.0,-5.28,-28.80,-5.26
29.0,5.0,-5.23,-28.80,-5.21
30.0,5.0,-5.18,-28.80,-5.16
31.0,5.0,-5.13,-28.80,-5.11
32.0,5.0,-5.08,-28.81,-5.06
33.0,5.0,-5.02,-28.82,-5.01
34.0,5.0,-4.97,-28.82,-4.95
35.0,5.0,-4.92,-28.84,-4.90
36.0,5.0,-4.87,-28.85,-4.85
37.0,5.0,-4.82,-28.87,-4.80
38.0,5.0,-4.77,-28.89,-4.75
39.0,5.0,-4.72,-28.91,-4.70
40.0,5.0,-4.67,-28.94,-4.65
41.0,5.0,-4.62,-28.98,-4.60
42.0,5.0,-4.57,-29.01,-4.56
43.0,5.0,-4.53,-29.05,-4.51
44.0,5.0,-4.48,-29.10,-4.47
45.0,5.0,-4.44,-29.15,-4.42
46.0,5.0,-4.40,-29.21,-4.38
47.0,5.0,-4.36,-29.27,-4.35
48.0,5.0,-4.32,-29.34,-4.31
49.0,5.0,-4.29,-29.41,-4.28
50.0,5.0,-4.26,-29.49,-4.24
51.0,5.0,-4.23,-29.58,-4.22
52.0,5.0,-4.20,-29.68,-4.19
53.0,5.0,-4.18,-29.78,-4.17
54.0,5.0,-4.16,-29.89,-4.15
55.0,5.0,-4.14,-30.01,-4.13
56.0,5.0,-4.13,-30.14,-4.12
57.0,5.0,-4.12,-30.28,-4.11
58.0,5.0,-4.12,-30.43,-4.11
59.0,5.0,-4.12,-30.59,-4.11
60.0,5.0,-4.12,-30.76,-4.11
61.0,5.0,-4.13,-30.94,-4.12
62.0,5.0,-4.15,-31.14,-4.14
63.0,5.0,-4.17,-31.34,-4.17
64.0,5.0,-4.20,-31.57,-4.20
65.0,5.0,-4.24,-31.81,-4.23
66.0,5.0,-4.29,-32.06,-4.28
67.0,5.0,-4.34,-32.33,-4.34
68.0,5.0,-4.41,-32.63,-4.40
69.0,5.0,-4.48,-32.94,-4.48
70.0,5.0,-4.57,-33.27,-4.57
71.0,5.0,-4.67,-33.63,-4.67
72.0,5.0,-4.79,-34.02,-4.78
73.0,5.0,-4.92,-34.44,-4.92
74.0,5.0,-5.08,-34.88,-5.07
75.0,5.0,-5.25,-35.37,-5.25
76.0,5.0,-5.46,-35.90,-5.45
77.0,5.0,-5.69,-36.47,-5.69
78.0,5.0,-5.96,-37.10,-5.96
79.0,5.0,-6.27,-37.80,-6.27
80.0,5.0,-6.64,-38.57,-6.64
81.0,5.0,-7.08,-39.43,-7.07
82.0,5.0,-7.60,-40.40,-7.59
83.0,5.0,-8.23,-41.51,-8.23
84.0,5.0,-9.01,-42.80,-9.01
85.0,5.0,-10.00,-44.34,-10.00
86.0,5.0,-11.31,-46.24,-11.31
87.0,5.0,-13.14,-48.70,-13.14
88.0,5.0,-15.95,-52.19,-15.95
89.0,5.0,-21.19,-58.18,-21.19
0.0,6.0,-6.15,-27.09,-6.11
1.0,6.0,-6.15,-27.09,-6.11
2.0,6.0,-6.14,-27.09,-6.11
3.0,6.0,-6.14,-27.09,-6.10
4.0,6.0,-6.13,-27.09,-6.09
5.0,6.0,-6.12,-27.09,-6.08
6.0,6.0,-6.10,-27.08,-6.07
7.0,6.0,-6.09,-27.08,-6.05
8.0,6.0,-6.07,-27.07,-6.03
9.0,6.0,-6.05,-27.07,-6.01
10.0,6.0,-6.02,-27.06,-5.99
11.0,6.0,-6.00,-27.06,-5.96
12.0,6.0,-5.97,-27.05,-5.94
13.0,6.0,-5.94,-27.04,-5.91
14.0,6.0,-5.91,-27.03,-5.87
15.0,6.0,-5.87,-27.02,-5.84
16.0,6.0,-5.84,-27.01,-5.80
17.0,6.0,-5.80,-27.01,-5.77
18.0,6.0,-5.76,-27.00,-5.73
19.0,6.0,-5.72,-26.99,-5.69
20.0,6.0,-5.68,-26.98,-5.65
21.0,6.0,-5.63,-26.97,-5.60
22.0,6.0,-5.59,-26.96,-5.56
23.0,6.0,-5.54,-26.96,-5.51
24.0,6.0,-5.50,-26.95,-5.46
25.0,6.0,-5.45,-26.94,-5.42
26.0,6.0,-5.40,-26.94,-5.37
27.0,6.0,-5.35,-26.94,-5.32
28.0,6.0,-5.30,-26.93,-5.27
29.0,6.0,-5.25,-26.93,-5.22
30.0,6.0,-5.19,-26.93,-5.16
31.0,6.0,-5.14,-26.94,-5.11
32.0,6.0,-5.09,-26.94,-5.06
33.0,6.0,-5.04,-26.95,-5.01
34.0,6.0,-4.98,-26.96,-4.96
35.0,6.0,-4.93,-26.97,-4.91
36.0,6.0,-4.88,-26.99,-4.85
37.0,6.0,-4.83,-27.01,-4.80
38.0,6.0,-4.78,-27.03,-4.75
39.0,6.0,-4.73,-27.06,-4.70
40.0,6.0,-4.68,-27.09,-4.65
41.0,6.0,-4.63,-27.12,-4.61
42.0,6.0,-4.59,-27.16,-4.56
43.0,6.0,-4.54,-27.20,-4.52
44.0,6.0,-4.50,-27.25,-4.47
45.0,6.0,-4.45,-27.30,-4.43
46.0,6.0,-4.41,-27.36,-4.39
47.0,6.0,-4.37,-27.42,-4.35
48.0,6.0,-4.34,-27.49,-4.32
49.0,6.0,-4.30,-27.57,-4.28
50.0,6.0,-4.27,-27.65,-4.25
51.0,6.0,-4.24,-27.74,-4.22
52.0,6.0,-4.22,-27.84,-4.20
53.0,6.0,-4.19,-27.94,-4.17
54.0,6.0,-4.17,-28.06,-4.15
55.0,6.0,-4.16,-28.18,-4.14
56.0,6.0,-4.14,-28.31,-4.13
57.0,6.0,-4.13,-28.45,-4.12
58.0,6.0,-4.13,-28.60,-4.11
59.0,6.0,-4.13,-28.76,-4.12
60.0,6.0,-4.14,-28.93,-4.12
61.0,6.0,-4.15,-29.11,-4.13
62.0,6.0,-4.16,-29.31,-4.15
63.0,6.0,-4.19,-29.52,-4.18
