ZENITH(DEG),AZIMUTH(DEG),VERT(dBi),HORI(dBi),TOTAL(dBi)
30.0,60.0,-7.57,-11.51,-6.10
40.0,60.0,-9.54,-12.44,-7.74
50.0,60.0,-4.27,-3.36,-0.78
60.0,60.0,-3.78,0.38,1.79
70.0,60.0,-7.59,0.84,1.42
80.0,60.0,-15.31,-2.81,-2.57
90.0,60.0,-185.86,-160.75,-160.73
0.0,70.0,2.62,-6.15,3.16
10.0,70.0,1.84,-6.74,2.41
20.0,70.0,-0.88,-8.94,-0.25
30.0,70.0,-6.98,-14.94,-6.34
40.0,70.0,-9.03,-15.93,-8.22
50.0,70.0,-3.85,-6.93,-2.11
60.0,70.0,-3.45,-3.27,-0.35
70.0,70.0,-7.34,-2.88,-1.55
80.0,70.0,-15.11,-6.57,-6.00
90.0,70.0,-191.44,-163.61,-163.60
0.0,80.0,3.03,-12.04,3.16
10.0,80.0,2.24,-12.64,2.38
20.0,80.0,-0.51,-14.87,-0.35
30.0,80.0,-6.66,-20.90,-6.50
40.0,80.0,-8.75,-21.94,-8.54
50.0,80.0,-3.63,-13.00,-3.15
60.0,80.0,-3.29,-9.39,-2.34
70.0,80.0,-7.24,-9.04,-5.04
80.0,80.0,-15.05,-12.77,-10.75
90.0,80.0,-175.11,-180.19,-173.94
0.0,90.0,3.16,-999.00,3.16
10.0,90.0,2.37,-999.00,2.37
20.0,90.0,-0.39,-999.00,-0.39
30.0,90.0,-6.55,-999.00,-6.55
40.0,90.0,-8.66,-999.00,-8.66
50.0,90.0,-3.56,-999.00,-3.56
60.0,90.0,-3.25,-999.00,-3.25
70.0,90.0,-7.22,-999.00,-7.22
80.0,90.0,-15.03,-999.00,-15.03
90.0,90.0,-189.33,-999.00,-189.33
0.0,100.0,3.03,-12.04,3.16
10.0,100.0,2.24,-12.64,2.38
20.0,100.0,-0.51,-14.87,-0.35
30.0,100.0,-6.66,-20.90,-6.50
40.0,100.0,-8.75,-21.94,-8.54
50.0,100.0,-3.63,-13.00,-3.15
60.0,100.0,-3.29,-9.39,-2.34
70.0,100.0,-7.24,-9.04,-5.04
80.0,100.0,-15.05,-12.77,-10.75
90.0,100.0,-175.11,-180.19,-173.94
0.0,110.0,2.62,-6.15,3.16
10.0,110.0,1.84,-6.74,2.41
20.0,110.0,-0.88,-8.94,-0.25
30.0,110.0,-6.98,-14.94,-6.34
40.0,110.0,-9.03,-15.93,-8.22
50.0,110.0,-3.85,-6.93,-2.11
60.0,110.0,-3.45,-3.27,-0.35
70.0,110.0,-7.34,-2.88,-1.55
80.0,110.0,-15.11,-6.57,-6.00
90.0,110.0,-191.44,-163.61,-163.60
0.0,120.0,1.92,-2.86,3.16
10.0,120.0,1.15,-3.43,2.45
20.0,120.0,-1.53,-5.59,-0.09
30.0,120.0,-7.57,-11.51,-6.10
40.0,120.0,-9.54,-12.44,-7.74
50.0,120.0,-4.27,-3.36,-0.78
60.0,120.0,-3.78,0.38,1.79
70.0,120.0,-7.59,0.84,1.42
80.0,120.0,-15.31,-2.81,-2.57
90.0,120.0,-185.86,-160.75,-160.73
0.0,130.0,0.85,-0.67,3.16
10.0,130.0,0.10,-1.23,2.50
20.0,130.0,-2.52,-3.34,0.10
30.0,130.0,-8.48,-9.18,-5.81
40.0,130.0,-10.36,-10.03,-7.18
50.0,130.0,-4.98,-0.84,0.57
60.0,130.0,-4.39,2.99,3.72
70.0,130.0,-8.10,3.53,3.82
80.0,130.0,-15.76,-0.08,0.04
90.0,130.0,-179.03,-170.38,-169.83
0.0,140.0,-0.67,0.85,3.16
10.0,140.0,-1.40,0.31,2.55
20.0,140.0,-3.97,-1.74,0.30
30.0,140.0,-9.84,-7.50,-5.50
40.0,140.0,-11.64,-8.26,-6.62
50.0,140.0,-6.14,1.03,1.79
60.0,140.0,-5.43,4.96,5.34
70.0,140.0,-9.05,5.58,5.73
80.0,140.0,-16.65,2.02,2.08
90.0,140.0,-173.81,-164.84,-164.33
0.0,150.0,-2.86,1.92,3.16
10.0,150.0,-3.57,1.40,2.60
20.0,150.0,-6.08,-0.61,0.48
30.0,150.0,-11.87,-6.29,-5.23
40.0,150.0,-13.58,-6.97,-6.11
50.0,150.0,-7.98,2.42,2.80
60.0,150.0,-7.17,6.44,6.63
70.0,150.0,-10.71,7.13,7.20
80.0,150.0,-18.26,3.62,3.65
90.0,150.0,-179.22,-161.57,-161.50
0.0,160.0,-6.15,2.62,3.16
10.0,160.0,-6.85,2.12,2.64
20.0,160.0,-9.33,0.16,0.62
30.0,160.0,-15.05,-5.46,-5.00
40.0,160.0,-16.69,-6.08,-5.72
50.0,160.0,-11.01,3.39,3.55
60.0,160.0,-10.12,7.48,7.56
70.0,160.0,-13.59,8.23,8.26
80.0,160.0,-21.09,4.76,4.77
90.0,160.0,-187.28,-160.63,-160.62
0.0,170.0,-12.04,3.03,3.16
10.0,170.0,-12.73,2.54,2.66
20.0,170.0,-15.18,0.60,0.72
30.0,170.0,-20.85,-4.97,-4.86
40.0,170.0,-22.46,-5.55,-5.47
50.0,170.0,-16.72,3.97,4.01
60.0,170.0,-15.78,8.11,8.12
70.0,170.0,-19.21,8.89,8.89
80.0,170.0,-26.68,5.44,5.44
90.0,170.0,-175.70,-163.60,-163.34
0.0,180.0,-999.00,3.16,3.16
10.0,180.0,-127.04,2.67,2.67
20.0,180.0,-123.91,0.75,0.75
30.0,180.0,-128.35,-4.81,-4.81
40.0,180.0,-128.29,-5.38,-5.38
50.0,180.0,-118.40,4.16,4.16
60.0,180.0,-116.46,8.31,8.31
70.0,180.0,-120.17,9.11,9.11
80.0,180.0,-132.42,5.66,5.66
90.0,180.0,-181.50,-179.37,-177.29
0.0,190.0,-12.04,3.03,3.16
10.0,190.0,-12.73,2.54,2.66
20.0,190.0,-15.18,0.60,0.72
30.0,190.0,-20.85,-4.97,-4.86
40.0,190.0,-22.46,-5.55,-5.47
50.0,190.0,-16.72,3.97,4.01
60.0,190.0,-15.78,8.11,8.12
70.0,190.0,-19.21,8.89,8.89
80.0,190.0,-26.68,5.44,5.44
90.0,190.0,-194.98,-159.93,-159.93
0.0,200.0,-6.15,2.62,3.16
10.0,200.0,-6.85,2.12,2.64
20.0,200.0,-9.33,0.16,0.62
30.0,200.0,-15.05,-5.46,-5.00
40.0,200.0,-16.69,-6.08,-5.72
50.0,200.0,-11.01,3.39,3.55
60.0,200.0,-10.12,7.48,7.56
70.0,200.0,-13.59,8.23,8.26
80.0,200.0,-21.09,4.76,4.77
90.0,200.0,-175.60,-169.55,-168.59
0.0,210.0,-2.86,1.92,3.16
10.0,210.0,-3.57,1.40,2.60
20.0,210.0,-6.08,-0.61,0.48
30.0,210.0,-11.87,-6.29,-5.23
40.0,210.0,-13.58,-6.97,-6.11
50.0,210.0,-7.98,2.42,2.80
60.0,210.0,-7.17,6.44,6.63
70.0,210.0,-10.71,7.13,7.20
80.0,210.0,-18.26,3.62,3.65
90.0,210.0,-177.48,-159.83,-159.76
0.0,220.0,-0.67,0.85,3.16
10.0,220.0,-1.40,0.31,2.55
20.0,220.0,-3.97,-1.74,0.30
30.0,220.0,-9.84,-7.50,-5.50
40.0,220.0,-11.64,-8.26,-6.62
50.0,220.0,-6.14,1.03,1.79
60.0,220.0,-5.43,4.96,5.34
70.0,220.0,-9.05,5.58,5.73
80.0,220.0,-16.65,2.02,2.08
90.0,220.0,-176.06,-158.31,-158.24
0.0,230.0,0.85,-0.67,3.16
10.0,230.0,0.10,-1.23,2.50
20.0,230.0,-2.52,-3.34,0.10
30.0,230.0,-8.48,-9.18,-5.81
40.0,230.0,-10.36,-10.03,-7.18
50.0,230.0,-4.98,-0.84,0.57
60.0,230.0,-4.39,2.99,3.72
70.0,230.0,-8.10,3.53,3.82
80.0,230.0,-15.76,-0.08,0.04
90.0,230.0,-176.82,-162.25,-162.10
0.0,240.0,1.92,-2.86,3.16
10.0,240.0,1.15,-3.43,2.45
20.0,240.0,-1.53,-5.59,-0.09
30.0,240.0,-7.57,-11.51,-6.10
40.0,240.0,-9.54,-12.44,-7.74
50.0,240.0,-4.27,-3.36,-0.78
60.0,240.0,-3.78,0.38,1.79
70.0,240.0,-7.59,0.84,1.42
80.0,240.0,-15.31,-2.81,-2.57
90.0,240.0,-185.24,-169.17,-169.07
0.0,250.0,2.62,-6.15,3.16
10.0,250.0,1.84,-6.74,2.41
20.0,250.0,-0.88,-8.94,-0.25
30.0,250.0,-6.98,-14.94,-6.34
40.0,250.0,-9.03,-15.93,-8.22
50.0,250.0,-3.85,-6.93,-2.11
60.0,250.0,-3.45,-3.27,-0.35
70.0,250.0,-7.34,-2.88,-1.55
80.0,250.0,-15.11,-6.57,-6.00
90.0,250.0,-193.71,-171.93,-171.90
0.0,260.0,3.03,-12.04,3.16
10.0,260.0,2.24,-12.64,2.38
20.0,260.0,-0.51,-14.87,-0.35
30.0,260.0,-6.66,-20.90,-6.50
40.0,260.0,-8.75,-21.94,-8.54
50.0,260.0,-3.63,-13.00,-3.15
60.0,260.0,-3.29,-9.39,-2.34
70.0,260.0,-7.24,-9.04,-5.04
80.0,260.0,-15.05,-12.77,-10.75
90.0,260.0,-184.80,-170.50,-170.34
0.0,270.0,3.16,-999.00,3.16
10.0,270.0,2.37,-999.00,2.37
20.0,270.0,-0.39,-999.00,-0.39
30.0,270.0,-6.55,-999.00,-6.55
40.0,270.0,-8.66,-999.00,-8.66
50.0,270.0,-3.56,-999.00,-3.56
60.0,270.0,-3.25,-999.00,-3.25
70.0,270.0,-7.22,-999.00,-7.22
80.0,270.0,-15.03,-999.00,-15.03
90.0,270.0,-180.12,-999.00,-180.12
0.0,280.0,3.03,-12.04,3.16
10.0,280.0,2.24,-12.64,2.38
20.0,280.0,-0.51,-14.87,-0.35
30.0,280.0,-6.66,-20.90,-6.50
40.0,280.0,-8.75,-21.94,-8.54
50.0,280.0,-3.63,-13.00,-3.15
60.0,280.0,-3.29,-9.39,-2.34
70.0,280.0,-7.24,-9.04,-5.04
80.0,280.0,-15.05,-12.77,-10.75
90.0,280.0,-184.80,-170.50,-170.34
0.0,290.0,2.62,-6.15,3.16
10.0,290.0,1.84,-6.74,2.41
20.0,290.0,-0.88,-8.94,-0.25
30.0,290.0,-6.98,-14.94,-6.34
40.0,290.0,-9.03,-15.93,-8.22
50.0,290.0,-3.85,-6.93,-2.11
60.0,290.0,-3.45,-3.27,-0.35
70.0,290.0,-7.34,-2.88,-1.55
80.0,290.0,-15.11,-6.57,-6.00
90.0,290.0,-193.71,-171.93,-171.90
0.0,300.0,1.92,-2.86,3.16
10.0,300.0,1.15,-3.43,2.45
20.0,300.0,-1.53,-5.59,-0.09
30.0,300.0,-7.57,-11.51,-6.10
40.0,300.0,-9.54,-12.44,-7.74
50.0,300.0,-4.27,-3.36,-0.78
60.0,300.0,-3.78,0.38,1.79
70.0,300.0,-7.59,0.84,1.42
80.0,300.0,-15.31,-2.81,-2.57
90.0,300.0,-185.24,-169.17,-169.07
0.0,310.0,0.85,-0.67,3.16
10.0,310.0,0.10,-1.23,2.50
20.0,310.0,-2.52,-3.34,0.10
30.0,310.0,-8.48,-9.18,-5.81
40.0,310.0,-10.36,-10.03,-7.18
50.0,310.0,-4.98,-0.84,0.57
60.0,310.0,-4.39,2.99,3.72
70.0,310.0,-8.10,3.53,3.82
80.0,310.0,-15.76,-0.08,0.04
90.0,310.0,-176.82,-162.25,-162.10
0.0,320.0,-0.67,0.85,3.16
10.0,320.0,-1.40,0.31,2.55
20.0,320.0,-3.97,-1.74,0.30
30.0,320.0,-9.84,-7.50,-5.50
40.0,320.0,-11.64,-8.26,-6.62
50.0,320.0,-6.14,1.03,1.79
60.0,320.0,-5.43,4.96,5.34
70.0,320.0,-9.05,5.58,5.73
80.0,320.0,-16.65,2.02,2.08
90.0,320.0,-176.06,-158.31,-158.24
0.0,330.0,-2.86,1.92,3.16
10.0,330.0,-3.57,1.40,2.60
20.0,330.0,-6.08,-0.61,0.48
30.0,330.0,-11.87,-6.29,-5.23
40.0,330.0,-13.58,-6.97,-6.11
50.0,330.0,-7.98,2.42,2.80
60.0,330.0,-7.17,6.44,6.63
70.0,330.0,-10.71,7.13,7.20
80.0,330.0,-18.26,3.62,3.65
90.0,330.0,-177.48,-159.83,-159.76
0.0,340.0,-6.15,2.62,3.16
10.0,340.0,-6.85,2.12,2.64
20.0,340.0,-9.33,0.16,0.62
30.0,340.0,-15.05,-5.46,-5.00
40.0,340.0,-16.69,-6.08,-5.72
50.0,340.0,-11.01,3.39,3.55
60.0,340.0,-10.12,7.48,7.56
70.0,340.0,-13.59,8.23,8.26
80.0,340.0,-21.09,4.76,4.77
90.0,340.0,-175.60,-169.55,-168.59
0.0,350.0,-12.04,3.03,3.16
10.0,350.0,-12.73,2.54,2.66
20.0,350.0,-15.18,0.60,0.72
30.0,350.0,-20.85,-4.97,-4.86
40.0,350.0,-22.46,-5.55,-5.47
50.0,350.0,-16.72,3.97,4.01
60.0,350.0,-15.78,8.11,8.12
70.0,350.0,-19.21,8.89,8.89
80.0,350.0,-26.68,5.44,5.44
90.0,350.0,-194.98,-159.93,-159.93
